"Age","Occupation","Shopping_Frequency","Aware_of_Shipping","Fast_Delivery_Importance","Consider_Shipping_Workers","Experienced_Delivery_Delays"
"70-75","Healthcare","Occasionally","Yes",3,"Yes","No"
"70-75","Retail","Sometimes","Yes",1,"No","Yes"
"30-35","Other","Always","No",4,"No","No"
"60-65","Student","Never","No",2,"No","Yes"
"30-35","Healthcare","Often","Yes",3,"No","Yes"
"24-29","Healthcare","Occasionally","Yes",5,"No","Yes"
"24-29","Freelancer","Often","No",5,"Yes","No"
"60-65","Healthcare","Always","Yes",3,"No","Yes"
"30-35","Engineer","Always","Yes",2,"No","Yes"
"50-55","Other","Always","No",5,"Yes","Yes"
"40-45","Freelancer","Always","Yes",4,"Yes","Yes"
"60-65","Other","Never","No",2,"No","No"
"60-65","Healthcare","Occasionally","No",1,"Yes","Yes"
"18-23","Office Worker","Never","No",4,"No","No"
"24-29","Other","Occasionally","No",1,"Yes","No"
"30-35","Engineer","Always","No",4,"Yes","No"
"50-55","Engineer","Always","No",5,"Yes","Yes"
"30-35","Freelancer","Never","No",4,"Yes","Yes"
"30-35","Office Worker","Occasionally","No",2,"No","Yes"
"18-23","Office Worker","Always","Yes",2,"No","No"
"40-45","Office Worker","Often","No",4,"No","No"
"18-23","Retail","Occasionally","Yes",3,"No","Yes"
"18-23","Office Worker","Occasionally","Yes",5,"Yes","No"
"50-55","Office Worker","Sometimes","Yes",2,"No","Yes"
"30-35","Healthcare","Never","Yes",3,"Yes","No"
"24-29","Other","Never","Yes",3,"Yes","Yes"
"70-75","Retail","Always","Yes",3,"No","No"
"24-29","Retail","Always","Yes",1,"Yes","No"
"18-23","Healthcare","Sometimes","No",1,"Yes","No"
"60-65","Student","Occasionally","No",3,"Yes","No"
"30-35","Healthcare","Always","Yes",4,"Yes","No"
"40-45","Healthcare","Always","Yes",4,"Yes","No"
"60-65","Healthcare","Sometimes","Yes",5,"No","No"
"18-23","Freelancer","Sometimes","Yes",2,"No","No"
"30-35","Healthcare","Never","Yes",2,"No","Yes"
"70-75","Freelancer","Often","Yes",4,"Yes","Yes"
"50-55","Healthcare","Occasionally","No",2,"Yes","No"
"40-45","Other","Never","Yes",1,"Yes","Yes"
"70-75","Student","Occasionally","No",4,"No","Yes"
"24-29","Other","Often","Yes",3,"No","No"
"50-55","Freelancer","Always","No",1,"No","Yes"
"70-75","Other","Never","No",5,"No","Yes"
"18-23","Engineer","Never","No",3,"Yes","No"
"18-23","Other","Never","No",4,"No","No"
"24-29","Other","Always","No",2,"Yes","Yes"
"70-75","Office Worker","Sometimes","Yes",5,"Yes","Yes"
"30-35","Healthcare","Never","No",5,"Yes","Yes"
"40-45","Healthcare","Occasionally","Yes",2,"No","Yes"
"50-55","Other","Occasionally","Yes",2,"Yes","Yes"
"70-75","Other","Never","Yes",2,"No","Yes"
"50-55","Freelancer","Occasionally","Yes",1,"No","No"
"30-35","Office Worker","Never","Yes",3,"Yes","No"
"60-65","Engineer","Always","Yes",4,"No","No"
"18-23","Healthcare","Occasionally","Yes",3,"Yes","No"
"24-29","Engineer","Sometimes","Yes",3,"No","Yes"
"50-55","Other","Always","Yes",3,"Yes","No"
"50-55","Freelancer","Often","No",4,"Yes","Yes"
"40-45","Retail","Always","No",4,"No","No"
"70-75","Retail","Occasionally","Yes",3,"No","Yes"
"50-55","Healthcare","Never","Yes",4,"No","Yes"
"24-29","Retail","Often","Yes",2,"No","Yes"
"18-23","Engineer","Occasionally","No",3,"No","No"
"18-23","Freelancer","Always","No",4,"No","No"
"30-35","Student","Never","Yes",2,"No","No"
"18-23","Other","Always","No",1,"No","Yes"
"60-65","Healthcare","Never","Yes",3,"Yes","Yes"
"50-55","Office Worker","Often","No",4,"Yes","No"
"70-75","Student","Sometimes","Yes",1,"Yes","No"
"18-23","Other","Never","No",1,"No","Yes"
"70-75","Office Worker","Never","Yes",4,"Yes","Yes"
"24-29","Engineer","Occasionally","Yes",4,"Yes","Yes"
"40-45","Freelancer","Often","Yes",5,"Yes","Yes"
"70-75","Retail","Occasionally","No",1,"No","Yes"
"40-45","Other","Never","No",4,"No","Yes"
"60-65","Other","Always","Yes",5,"Yes","Yes"
"60-65","Retail","Always","No",3,"No","Yes"
"30-35","Student","Never","No",2,"Yes","Yes"
"60-65","Healthcare","Never","No",5,"No","Yes"
"60-65","Healthcare","Always","No",4,"Yes","No"
"70-75","Retail","Always","No",4,"No","Yes"
"70-75","Student","Occasionally","No",1,"No","No"
"18-23","Healthcare","Occasionally","Yes",3,"No","Yes"
"60-65","Freelancer","Always","No",3,"Yes","No"
"24-29","Retail","Never","No",3,"Yes","No"
"18-23","Freelancer","Never","No",5,"No","Yes"
"24-29","Engineer","Always","Yes",2,"No","No"
"40-45","Retail","Always","No",5,"No","No"
"50-55","Retail","Often","No",2,"No","Yes"
"50-55","Retail","Always","Yes",1,"No","Yes"
"60-65","Healthcare","Always","No",4,"Yes","No"
"70-75","Student","Often","No",2,"Yes","No"
"30-35","Office Worker","Occasionally","Yes",2,"No","Yes"
"18-23","Freelancer","Always","No",3,"Yes","No"
"40-45","Retail","Never","Yes",5,"No","Yes"
"60-65","Freelancer","Never","Yes",1,"Yes","No"
"18-23","Student","Occasionally","No",3,"Yes","No"
"60-65","Other","Never","No",3,"Yes","No"
"18-23","Healthcare","Occasionally","Yes",2,"Yes","Yes"
"70-75","Engineer","Always","No",5,"Yes","Yes"
"30-35","Engineer","Never","Yes",1,"No","No"
